p,dataset,n,avg_t_total,avg_t_compute,avg_t_comm,avg_accuracy
32,dataset_1000.npz,200,0.069917,0.061249,0.034537,0.88
24,dataset_1000.npz,200,0.08262,0.077906,0.040074,0.84
20,dataset_1000.npz,200,0.072232,0.065465,0.020172,0.86
16,dataset_1000.npz,200,0.062016,0.059355,0.008589,0.835
8,dataset_1000.npz,200,0.129113,0.126946,0.027343,0.865
4,dataset_1000.npz,200,0.198931,0.198917,0.014423,0.865
2,dataset_1000.npz,200,0.396119,0.396102,0.00252,0.875
1,dataset_1000.npz,200,0.75972,0.759711,0.000009,0.875
32,dataset_2000.npz,400,0.175747,0.167025,0.038622,0.9475
24,dataset_2000.npz,400,0.198839,0.195436,0.036184,0.905
20,dataset_2000.npz,400,0.240401,0.235956,0.046771,0.905
16,dataset_2000.npz,400,0.280173,0.274303,0.062628,0.8925
8,dataset_2000.npz,400,0.504676,0.502582,0.109238,0.9125
4,dataset_2000.npz,400,0.951024,0.950951,0.172185,0.9175
2,dataset_2000.npz,400,1.591581,1.591496,0.058662,0.92
1,dataset_2000.npz,400,2.995061,2.995052,0.000009,0.93
32,dataset_4000.npz,800,0.603801,0.595181,0.0555,0.9487
24,dataset_4000.npz,800,0.821793,0.821626,0.171693,0.9375
20,dataset_4000.npz,800,0.970608,0.970481,0.196966,0.9513
16,dataset_4000.npz,800,1.077685,1.077553,0.233913,0.9413
8,dataset_4000.npz,800,1.757625,1.757521,0.220339,0.9513
4,dataset_4000.npz,800,3.227302,3.227234,0.275227,0.95
2,dataset_4000.npz,800,6.41929,6.419221,0.104704,0.9513
1,dataset_4000.npz,800,12.155283,12.155273,0.00001,0.945
32,dataset_8000.npz,1600,2.648059,2.638682,0.499607,0.9575
24,dataset_8000.npz,1600,3.322585,3.322391,0.744966,0.9556
20,dataset_8000.npz,1600,3.83854,3.838364,0.776988,0.9594
16,dataset_8000.npz,1600,4.112473,4.112338,0.701358,0.9644
8,dataset_8000.npz,1600,8.145058,8.14481,1.836112,0.9669
4,dataset_8000.npz,1600,15.69473,15.694575,3.694927,0.9637
2,dataset_8000.npz,1600,25.44755,25.447461,0.493015,0.9738
1,dataset_8000.npz,1600,48.049231,48.049218,0.000013,0.9619
32,dataset_16000.npz,3200,10.598816,10.589919,1.895667,0.9741
24,dataset_16000.npz,3200,13.014171,13.012891,2.691856,0.9681
20,dataset_16000.npz,3200,15.798159,15.797945,3.472428,0.9719
16,dataset_16000.npz,3200,16.885573,16.885418,3.367113,0.9691
8,dataset_16000.npz,3200,27.39724,27.397108,1.570716,0.975
4,dataset_16000.npz,3200,50.106288,50.10617,1.620908,0.9744
2,dataset_16000.npz,3200,101.746781,101.7467,2.650233,0.9694
1,dataset_16000.npz,3200,187.359202,187.359189,0.000013,0.9659
32,dataset_20000.npz,4000,17.654678,17.644708,4.301685,0.9755
24,dataset_20000.npz,4000,20.65652,20.65619,4.467958,0.9735
20,dataset_20000.npz,4000,23.482053,23.481868,4.201287,0.9738
16,dataset_20000.npz,4000,26.904011,26.903748,5.846138,0.9762
8,dataset_20000.npz,4000,42.518786,42.516444,2.743725,0.9728
4,dataset_20000.npz,4000,79.881048,79.880959,4.650349,0.9752
2,dataset_20000.npz,4000,153.686287,153.686207,3.850436,0.972
1,dataset_20000.npz,4000,293.375407,293.375394,0.000013,0.9722
32,dataset_30000.npz,6000,38.469624,38.459572,8.609459,0.9793
24,dataset_30000.npz,6000,40.083516,40.083338,3.680102,0.978
20,dataset_30000.npz,6000,55.92774,55.927431,13.09106,0.9773
16,dataset_30000.npz,6000,57.352484,57.352323,10.480572,0.9787
8,dataset_30000.npz,6000,112.696825,112.694404,24.58935,0.9742
4,dataset_30000.npz,6000,178.580076,178.579973,15.044253,0.9747
2,dataset_30000.npz,6000,365.372366,365.372279,5.664085,0.9762
1,dataset_30000.npz,6000,680.977172,680.977161,0.000011,0.9783
32,dataset_40000.npz,8000,69.665389,69.654191,15.517276,0.977
24,dataset_40000.npz,8000,70.538374,70.538195,6.485253,0.9781
20,dataset_40000.npz,8000,84.392897,84.392719,8.161678,0.9761
16,dataset_40000.npz,8000,105.886915,105.886738,20.823892,0.9758
8,dataset_40000.npz,8000,176.834943,176.834789,19.044797,0.9765
4,dataset_40000.npz,8000,367.564255,367.564099,62.200694,0.977
2,dataset_40000.npz,8000,635.58778,635.587694,17.050519,0.9761
1,dataset_40000.npz,8000,1228.563753,1228.563742,0.000011,0.9759
